epoch,loss,psnr,val_loss,val_psnr
0,171727.398801,31.7126846972,26487.8973613,36.5332865936
1,27590.0142518,36.9145366589,23122.1048942,37.2135840133
2,26204.8445363,37.1586053371,25426.7281672,36.7190886368
3,25637.3903488,37.2710514035,19336.9203017,38.2001847002
4,25353.1923529,37.3194237759,22187.5841454,37.434982051
